20 20 100
1 15 1 15 
1 14 2 15 
1 14 2 16 
3 1 2 17 
2 16 3 16 
4 15 4 15 
4 15 5 14 
18 11 4 13 
3 12 3 12 
11 13 2 11 
3 12 3 12 
4 12 4 13 
4 12 5 14 
5 13 5 13 
5 13 4 13 
2 13 3 13 
3 13 2 13 
3 13 1 13 
4 13 2 12 
3 13 3 11 
3 13 2 11 
3 13 1 12 
0 13 0 13 
1 14 1 14 
1 14 2 15 
0 14 3 16 
0 14 4 17 
0 13 5 17 
4 17 4 18 
5 19 4 19 
5 19 4 18 
5 19 5 18 
6 18 6 18 
6 18 7 18 
9 18 8 18 
8 18 9 18 
9 17 9 17 
9 17 9 16 
9 18 9 15 
9 18 10 15 
9 18 9 15 
7 15 8 15 
7 15 7 15 
6 16 6 16 
5 17 5 17 
4 18 4 18 
12 13 3 19 
4 19 4 19 
5 18 5 18 
5 18 6 17 
8 16 7 16 
8 16 8 15 
8 16 8 15 
9 16 9 14 
9 13 10 13 
11 12 11 12 
12 12 12 11 
13 11 13 11 
15 11 14 11 
15 12 15 11 
15 12 16 11 
15 12 17 11 
16 9 16 10 
17 10 17 10 
17 9 18 10 
10 8 19 10 
18 11 18 11 
17 10 17 11 
17 9 16 11 
17 9 15 11 
15 12 15 12 
15 12 16 12 
6 9 17 12 
6 8 17 13 
16 14 17 14 
16 14 16 13 
15 12 15 12 
14 12 14 11 
14 12 13 10 
14 11 14 11 
15 12 15 12 
14 12 16 13 
17 14 17 14 
18 15 18 15 
19 16 19 16 
19 17 19 16 
13 8 18 17 
13 8 17 18 
16 18 16 19 
16 18 15 18 
16 17 16 17 
13 12 17 16 
18 16 18 15 
15 13 18 14 
15 13 19 13 
19 14 19 14 
19 15 19 15 
19 16 19 16 
18 17 19 17 
19 16 19 17 
