20 20 100
6 19 6 19 
5 19 5 19 
6 19 6 18 
7 17 7 17 
6 17 8 17 
9 17 9 17 
1 14 10 17 
9 17 9 16 
7 15 8 15 
7 15 7 14 
7 14 7 14 
8 14 8 14 
8 14 9 14 
12 6 10 14 
11 14 11 14 
10 14 10 14 
16 17 9 14 
16 17 8 14 
16 17 9 15 
8 15 8 15 
7 15 7 15 
6 15 6 15 
7 15 5 15 
4 14 4 15 
4 14 3 15 
3 15 2 15 
3 15 3 15 
11 4 4 15 
11 4 5 15 
10 4 5 14 
5 12 5 13 
13 3 5 12 
12 3 5 11 
5 11 6 11 
5 11 7 11 
7 12 6 12 
2 10 5 13 
4 13 4 14 
3 14 3 13 
4 14 4 14 
4 15 5 15 
6 17 6 16 
6 17 7 17 
7 17 8 18 
7 19 7 19 
7 19 8 19 
6 19 9 18 
0 0 10 17 
0 0 9 18 
0 1 8 19 
6 19 7 19 
6 18 6 18 
8 17 7 17 
6 18 6 17 
5 16 5 17 
5 17 4 17 
5 16 5 16 
5 16 6 15 
5 15 7 15 
6 13 6 14 
6 13 6 15 
16 17 6 16 
16 17 6 17 
6 17 6 17 
5 17 6 17 
5 16 5 16 
12 8 4 15 
11 8 3 14 
11 9 2 13 
10 9 3 14 
3 15 4 15 
5 15 5 16 
5 15 6 17 
7 18 7 18 
6 19 6 19 
6 18 7 18 
8 17 8 17 
9 16 9 16 
10 2 10 15 
10 2 11 16 
10 2 12 17 
10 3 13 18 
10 3 14 18 
15 18 15 18 
2 6 16 18 
16 17 15 17 
14 16 14 16 
14 16 13 15 
14 15 12 16 
13 17 13 17 
13 16 13 16 
12 17 12 17 
13 17 13 18 
12 17 12 19 
13 19 13 19 
11 19 12 19 
11 18 11 18 
12 18 10 17 
11 9 9 16 
8 14 8 15 
