20 20 100
9 0 9 0 
9 0 9 0 
8 0 10 1 
9 1 9 1 
8 1 8 1 
7 1 7 1 
7 1 8 2 
8 3 8 3 
7 3 7 2 
16 12 6 1 
5 0 5 0 
4 0 4 0 
4 0 3 0 
10 16 2 0 
0 0 1 0 
0 1 0 0 
0 0 0 0 
1 0 1 0 
1 0 2 0 
0 0 3 0 
3 0 4 0 
3 1 5 0 
2 1 4 0 
2 0 3 0 
2 0 2 0 
1 0 1 1 
1 1 0 1 
1 2 1 1 
0 0 0 1 
1 1 1 1 
1 2 2 1 
2 0 2 1 
3 2 3 2 
3 2 2 1 
0 0 1 0 
0 1 0 1 
19 17 1 2 
8 9 2 2 
3 2 3 2 
2 2 3 1 
3 3 3 2 
3 2 3 2 
3 2 3 2 
2 3 2 3 
2 4 1 4 
0 5 0 5 
0 5 1 6 
1 5 2 7 
3 8 3 8 
2 8 3 7 
3 6 3 6 
3 6 4 7 
18 9 5 8 
5 9 5 9 
5 10 5 10 
4 10 4 10 
4 10 3 10 
2 10 2 10 
1 10 1 10 
1 10 0 10 
1 10 0 11 
1 10 1 12 
2 10 2 13 
2 10 3 14 
4 15 4 15 
6 16 5 16 
8 19 6 17 
5 15 5 16 
5 15 4 15 
3 15 3 15 
4 15 4 16 
4 15 4 15 
4 15 4 14 
4 15 4 13 
5 12 4 12 
3 11 4 11 
4 10 4 10 
4 10 4 9 
19 11 4 9 
17 10 4 9 
5 9 5 8 
13 17 5 7 
13 17 5 8 
9 11 4 7 
13 12 4 6 
4 7 4 7 
4 7 3 8 
14 0 2 9 
2 8 1 8 
0 7 0 7 
0 6 1 6 
0 5 2 5 
0 6 3 5 
2 5 2 5 
3 5 3 5 
4 4 4 4 
3 4 4 3 
6 7 4 2 
7 7 4 1 
3 0 4 0 
