20 20 100
5 17 5 17 
5 16 5 18 
6 18 6 19 
6 18 6 18 
6 17 6 17 
9 12 6 16 
9 12 6 15 
6 14 6 14 
6 14 6 13 
5 14 7 13 
8 12 8 13 
8 12 9 14 
10 16 10 15 
9 16 9 16 
6 6 8 15 
7 14 7 14 
7 14 6 13 
8 14 7 13 
8 13 8 13 
8 13 9 13 
0 18 10 13 
0 19 11 13 
13 12 12 12 
13 10 13 11 
13 10 14 10 
13 10 15 9 
16 8 16 8 
16 9 16 9 
15 9 16 9 
18 8 17 8 
18 8 18 7 
18 9 17 7 
18 10 16 7 
18 10 15 7 
19 10 14 7 
16 6 15 6 
15 5 16 5 
17 4 17 4 
17 5 18 3 
19 2 19 2 
18 1 18 1 
18 1 17 1 
16 1 16 1 
19 10 17 2 
0 5 18 3 
0 4 19 4 
0 4 19 3 
18 4 18 4 
18 4 18 4 
17 4 18 4 
18 4 17 4 
16 4 16 4 
15 4 15 4 
14 4 15 4 
15 5 16 5 
17 6 17 6 
19 7 18 7 
7 19 19 8 
6 19 18 9 
19 8 18 8 
19 10 19 9 
18 8 18 8 
19 7 19 7 
18 7 18 7 
18 5 18 6 
18 5 18 5 
18 4 18 4 
17 4 18 3 
16 4 18 2 
9 13 18 1 
1 14 17 1 
1 14 16 1 
1 14 15 1 
16 1 16 2 
17 4 17 3 
18 4 18 4 
19 5 19 5 
18 5 18 6 
18 5 18 7 
10 14 18 8 
10 13 18 9 
18 10 18 10 
18 11 17 9 
15 14 17 8 
15 15 17 7 
17 5 17 6 
17 5 17 5 
16 4 16 4 
16 5 16 5 
16 5 16 6 
16 5 16 7 
17 8 17 8 
18 9 18 9 
19 10 19 10 
18 10 19 10 
18 10 19 9 
18 8 18 8 
17 7 17 7 
17 7 18 7 
19 7 19 7 
