20 20 100
15 13 15 13 
16 14 16 14 
16 13 17 15 
18 16 18 16 
19 16 19 17 
18 16 19 18 
15 17 18 19 
17 19 17 19 
17 19 17 19 
17 19 16 19 
14 18 15 18 
16 18 15 18 
16 19 16 18 
9 7 15 17 
9 7 14 16 
9 7 14 16 
9 6 15 17 
8 6 16 18 
15 18 15 18 
15 18 16 19 
17 18 17 18 
18 17 18 17 
17 18 17 18 
16 19 16 19 
1 0 16 19 
16 19 16 19 
16 19 16 18 
15 17 15 17 
14 16 14 16 
14 17 14 17 
14 17 15 17 
14 17 15 17 
14 18 16 18 
16 19 17 19 
18 18 18 18 
18 18 19 17 
4 8 19 17 
18 17 18 16 
17 15 17 15 
17 15 17 15 
18 16 17 15 
18 16 17 15 
18 15 18 16 
19 17 18 17 
19 18 18 18 
18 18 18 19 
18 19 18 19 
17 19 18 18 
17 18 18 19 
18 19 18 18 
19 17 19 17 
19 18 18 16 
19 15 19 15 
19 14 18 14 
19 14 17 13 
16 12 16 12 
15 10 15 11 
14 10 14 10 
13 9 13 9 
13 8 12 8 
14 8 11 7 
12 7 12 7 
12 6 12 6 
12 5 12 5 
12 4 11 5 
12 4 10 4 
9 3 9 3 
8 3 8 3 
9 11 7 3 
7 3 7 3 
7 4 7 4 
7 4 7 5 
6 6 6 6 
5 6 5 6 
4 2 4 5 
4 2 3 4 
4 1 2 3 
3 5 3 4 
4 9 4 5 
5 6 5 6 
4 5 4 6 
2 6 3 6 
3 6 2 6 
3 6 1 7 
3 6 2 8 
3 6 3 9 
3 5 3 9 
4 5 3 9 
4 5 2 10 
0 11 1 11 
0 12 0 12 
0 11 0 13 
0 11 1 14 
0 11 2 15 
12 10 3 16 
12 10 4 17 
12 10 3 18 
1 19 2 19 
2 19 1 18 
1 19 2 17 
