20 20 100
16 9 16 9 
15 8 15 8 
6 3 14 7 
6 3 15 6 
6 3 16 5 
7 3 15 5 
15 6 15 5 
16 5 16 5 
16 5 16 6 
17 5 15 6 
17 4 16 6 
17 4 15 7 
3 2 14 8 
13 9 13 9 
12 10 12 10 
11 11 11 11 
11 11 10 12 
11 13 11 13 
11 13 12 14 
11 14 11 14 
10 14 10 14 
10 15 10 15 
10 16 10 16 
4 14 9 16 
3 14 10 16 
10 16 10 16 
10 15 11 17 
10 15 12 18 
10 14 13 19 
14 19 14 19 
14 19 15 18 
16 18 16 17 
17 18 17 16 
1 2 18 15 
0 2 19 14 
1 2 19 14 
8 14 18 14 
13 19 17 14 
14 19 16 13 
15 19 15 12 
14 12 14 11 
13 10 13 10 
13 11 13 11 
12 12 12 12 
11 13 11 13 
13 14 10 14 
10 15 10 13 
10 15 9 13 
8 13 8 13 
7 13 7 13 
7 13 6 13 
6 13 5 13 
19 18 4 13 
6 13 3 13 
7 13 4 13 
7 13 5 13 
7 13 6 13 
5 13 6 13 
6 13 7 13 
8 13 8 13 
8 12 9 13 
10 13 10 13 
3 12 11 13 
10 13 10 14 
10 14 9 15 
10 15 8 16 
7 18 7 17 
6 19 6 18 
5 19 5 19 
4 19 5 18 
5 17 5 17 
6 17 6 17 
6 17 7 18 
7 19 8 19 
7 19 9 18 
10 17 10 17 
10 17 10 16 
10 16 10 16 
9 16 10 15 
10 15 10 14 
9 15 9 15 
9 15 8 16 
7 15 8 15 
7 14 8 14 
8 13 8 13 
7 13 7 14 
7 13 6 15 
7 13 5 16 
4 17 4 17 
0 0 5 18 
0 0 4 18 
4 19 5 19 
5 18 6 18 
7 17 7 17 
7 16 8 16 
1 4 9 17 
1 4 10 18 
12 19 11 19 
5 1 12 19 
13 19 13 19 
