20 20 100
2 15 2 15 
1 5 3 16 
4 17 4 17 
4 16 5 18 
19 9 6 19 
6 19 6 19 
5 19 6 18 
6 19 6 17 
6 16 6 16 
7 16 7 16 
7 16 6 16 
5 16 5 16 
5 16 4 16 
5 17 5 17 
5 18 6 18 
19 1 6 17 
6 16 7 16 
6 17 8 15 
9 15 9 14 
1 6 10 15 
1 6 11 16 
1 7 10 15 
9 13 9 14 
10 13 10 15 
11 16 11 16 
12 16 12 17 
13 18 13 18 
13 18 12 19 
13 18 13 18 
14 18 14 17 
14 18 15 16 
16 15 16 15 
16 15 16 15 
16 15 16 15 
16 16 16 15 
17 14 17 14 
17 14 18 13 
18 14 19 12 
19 11 19 11 
17 10 18 10 
17 11 17 9 
18 11 16 8 
15 8 15 8 
14 8 16 7 
14 9 17 6 
13 9 18 6 
12 9 17 5 
12 9 16 4 
15 4 15 3 
15 4 14 2 
13 2 13 3 
13 4 13 4 
13 4 12 3 
12 2 11 2 
10 2 10 2 
9 2 9 2 
16 2 8 2 
7 2 7 2 
7 7 6 2 
6 4 6 3 
6 5 6 4 
8 2 7 4 
7 4 8 4 
7 4 9 4 
7 3 10 4 
7 3 11 4 
7 3 12 4 
7 3 13 4 
14 3 14 3 
16 2 15 2 
9 16 16 1 
9 16 15 1 
8 16 14 1 
13 0 13 0 
13 0 12 0 
14 0 11 0 
13 0 12 0 
13 1 13 1 
13 1 14 2 
12 1 15 3 
12 0 16 4 
12 0 15 5 
7 8 14 6 
14 7 13 7 
14 7 12 8 
14 7 12 8 
11 8 12 8 
11 8 11 7 
11 7 11 7 
11 7 10 7 
11 7 11 7 
11 7 12 7 
12 7 12 7 
11 7 13 8 
12 7 14 9 
11 7 15 10 
11 7 16 11 
17 11 17 11 
18 11 18 10 
14 0 17 9 
