20 20 100
12 3 12 3 
12 3 12 3 
11 3 12 2 
12 1 12 1 
12 0 12 0 
11 0 11 0 
11 1 10 1 
9 2 9 2 
9 2 8 3 
7 4 7 4 
7 4 6 5 
6 6 7 6 
8 7 8 7 
9 7 9 6 
9 8 8 6 
8 7 8 7 
7 8 8 8 
7 8 8 9 
7 8 8 10 
7 11 7 11 
11 18 7 11 
7 7 8 10 
6 11 7 11 
6 12 6 11 
5 11 5 11 
17 6 4 11 
4 11 4 10 
4 11 4 9 
3 11 4 8 
4 7 4 7 
4 6 4 6 
4 5 4 5 
5 5 4 4 
5 4 5 4 
4 4 4 4 
4 5 3 4 
3 3 3 3 
3 3 3 2 
5 3 4 3 
5 4 5 4 
5 4 6 5 
7 5 7 6 
7 5 8 7 
9 8 9 8 
9 9 10 9 
10 9 11 10 
10 10 10 10 
9 9 9 9 
9 9 8 9 
9 8 9 9 
9 8 10 9 
11 10 11 9 
10 12 12 9 
10 13 12 9 
11 10 11 10 
10 9 11 9 
10 8 11 8 
10 7 11 7 
10 7 10 7 
9 7 9 7 
9 7 8 7 
9 6 7 7 
9 5 6 7 
5 7 5 7 
5 7 4 7 
5 7 3 7 
2 6 2 7 
1 7 1 7 
2 7 0 7 
2 7 0 8 
16 17 1 9 
16 16 2 10 
16 15 3 11 
4 12 4 12 
4 12 4 13 
4 13 4 14 
7 4 3 15 
2 7 2 16 
2 8 2 16 
0 16 2 16 
0 15 2 15 
2 14 2 14 
3 15 3 15 
12 17 4 16 
12 18 5 17 
13 18 6 18 
13 18 7 19 
13 18 8 19 
13 18 9 18 
12 18 10 17 
12 16 11 16 
12 16 12 15 
13 16 13 14 
13 16 14 13 
13 16 15 12 
12 16 16 11 
17 11 17 11 
17 11 16 10 
16 9 15 9 
16 9 16 9 
